MaxAgent,MinAgent,probability,outcome,vote_failure,belief_max,belief_min
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.9833333333333333,0.013333333333333334,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.98,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.9833333333333333,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.9866666666666667,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.99,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.99,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.99,0.013333333333333334,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.9833333333333333,0.016666666666666666,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.99,0.013333333333333334,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.01,0.99,0.013333333333333334,0.98989898989899,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.98,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.9733333333333334,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.98,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.9866666666666667,0.03,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.9766666666666667,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.9866666666666667,0.02666666666666667,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.9733333333333334,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.98,0.02666666666666667,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.97,0.03333333333333333,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.02,0.98,0.03,0.9795918367346939,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9733333333333334,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9733333333333334,0.04666666666666667,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9733333333333334,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.97,0.04666666666666667,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9866666666666667,0.04666666666666667,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9566666666666667,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9666666666666667,0.043333333333333335,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.9733333333333334,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.96,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.03,0.97,0.05,0.9690721649484536,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9566666666666667,0.06333333333333334,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9666666666666667,0.06666666666666667,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9666666666666667,0.06333333333333334,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.96,0.06333333333333334,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.95,0.06333333333333334,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.95,0.06,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9433333333333334,0.06666666666666667,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9466666666666667,0.06666666666666667,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9433333333333334,0.06666666666666667,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.04,0.9433333333333334,0.06666666666666667,0.9583333333333334,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9433333333333334,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9533333333333334,0.07333333333333333,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9433333333333334,0.08333333333333333,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.95,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.94,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9333333333333333,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9366666666666666,0.07666666666666666,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9566666666666667,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.9433333333333334,0.07666666666666666,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.05,0.94,0.08,0.9473684210526315,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.93,0.1,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.92,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.9166666666666666,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.93,0.1,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.9266666666666666,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.93,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.9333333333333333,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.94,0.1,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.9433333333333334,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.060000000000000005,0.9366666666666666,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9333333333333333,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.94,0.09,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9533333333333334,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.93,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9533333333333334,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9366666666666666,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9366666666666666,0.09666666666666666,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.92,0.09333333333333334,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.9333333333333333,0.1,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.06999999999999999,0.93,0.1,0.9361702127659575,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.92,0.12333333333333334,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9233333333333333,0.13,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9166666666666666,0.12333333333333334,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9133333333333333,0.13333333333333333,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9,0.12333333333333334,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.91,0.12666666666666668,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9066666666666666,0.12666666666666668,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.91,0.13333333333333333,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.9266666666666666,0.13,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.08,0.92,0.13,0.9130434782608695,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8966666666666666,0.13333333333333333,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.9133333333333333,0.15,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8833333333333333,0.14,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8933333333333333,0.14333333333333334,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.9066666666666666,0.14666666666666667,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8966666666666666,0.14333333333333334,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8966666666666666,0.13666666666666666,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8866666666666667,0.14333333333333334,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8933333333333333,0.14,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09,0.8933333333333333,0.14666666666666667,0.9010989010989011,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.8833333333333333,0.16666666666666666,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.87,0.16,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.8833333333333333,0.15,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.8966666666666666,0.15333333333333332,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.89,0.15666666666666668,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.89,0.15333333333333332,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.9,0.15333333333333332,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.8733333333333333,0.16,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.8766666666666667,0.16333333333333333,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.09999999999999999,0.88,0.15333333333333332,0.8888888888888888,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.88,0.16666666666666666,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8833333333333333,0.17666666666666667,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8566666666666667,0.17,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8833333333333333,0.16666666666666666,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8666666666666667,0.16666666666666666,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.88,0.17333333333333334,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.88,0.17,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8966666666666666,0.17,0.8764044943820225,0.0
MaxGrimTriggerAgent,MinGrimTriggerAgent,0.11,0.8733333333333333,0.17666666666666667,0.8764044943820225,0.0
